Año	Mes	CaseCount
1983	7	2
1983	8	5
1983	9	0
1983	10	3
1983	11	3
1983	12	2
1984	1	0
1984	2	3
1984	3	3
1984	4	1
1984	5	3
1984	6	1
1984	7	0
1984	8	0
1984	9	2
1984	10	5
1984	11	0
1984	12	0
1985	1	0
1985	2	1
1985	3	8
1985	4	3
1985	5	8
1985	6	3
1985	7	0
1985	8	7
1985	9	18
1985	10	2
1985	11	100
1985	12	8
1986	1	1
1986	2	12
1986	3	56
1986	4	4
1986	5	5
1986	6	10
1986	7	10
1986	8	5
1986	9	2
1986	10	7
1986	11	0
1986	12	9
1987	1	3
1987	2	4
1987	3	2
1987	4	1
1987	5	6
1987	6	1
1987	7	1
1987	8	0
1987	9	8
1987	10	4
1987	11	4
1987	12	2
1988	1	2
1988	2	3
1988	3	2
1988	4	3
1988	5	13
1988	6	3
1988	7	0
1988	8	0
1988	9	0
1988	10	3
1988	11	7
1988	12	3
1989	1	2
1989	2	8
1989	3	10
1989	4	11
1989	5	5
1989	6	7
1989	7	3
1989	8	9
1989	9	10
1989	10	3
1989	11	6
1989	12	70
1990	1	3
1990	2	2
1990	3	4
1990	4	3
1990	5	16
1990	6	0
1990	7	3
1990	8	9
1990	9	4
1990	10	2
1990	11	1
1990	12	2
1991	1	3
1991	2	6
1991	3	7
1991	4	1
1991	5	7
1991	6	6
1991	7	7
1991	8	2
1991	9	3
1991	10	0
1991	11	15
1991	12	1
1992	1	8
1992	2	3
1992	3	3
1992	4	2
1992	5	7
1992	6	9
1992	7	17
1992	8	3
1992	9	9
1992	10	8
1992	11	0
1992	12	1
1993	1	7
1993	2	4
1993	3	5
1993	4	9
1993	5	16
1993	6	5
1993	7	9
1993	8	15
1993	9	5
1993	10	7
1993	11	5
1993	12	9
1994	1	3
1994	2	3
1994	3	3
1994	4	3
1994	5	9
1994	6	7
1994	7	15
1994	8	7
1994	9	3
1994	10	9
1994	11	3
1994	12	2
1995	1	5
1995	2	10
1995	3	8
1995	4	11
1995	5	7
1995	6	6
1995	7	2
1995	8	8
1995	9	3
1995	10	4
1995	11	7
1995	12	1
1996	1	6
1996	2	10
1996	3	5
1996	4	6
1996	5	7
1996	6	2
1996	7	6
1996	8	14
1996	9	7
1996	10	4
1996	11	7
1996	12	6
1997	1	3
1997	2	5
1997	3	8
1997	4	8
1997	5	7
1997	6	19
1997	7	5
1997	8	6
1997	9	9
1997	10	7
1997	11	5
1997	12	7
1998	1	6
1998	2	4
1998	3	6
1998	4	6
1998	5	2
1998	6	14
1998	7	3
1998	8	10
1998	9	8
1998	10	13
1998	11	5
1998	12	1
1999	1	4
1999	2	7
1999	3	10
1999	4	7
1999	5	15
1999	6	14
1999	7	12
1999	8	13
1999	9	8
1999	10	15
1999	11	7
1999	12	8
2000	1	10
2000	2	14
2000	3	10
2000	4	9
2000	5	15
2000	6	9
2000	7	6
2000	8	14
2000	9	17
2000	10	3
2000	11	21
2000	12	9
2001	1	8
2001	2	6
2001	3	7
2001	4	7
2001	5	9
2001	6	15
2001	7	12
2001	8	13
2001	9	10
2001	10	14
2001	11	13
2001	12	11
2002	1	11
2002	2	12
2002	3	18
2002	4	9
2002	5	16
2002	6	15
2002	7	6
2002	8	43
2002	9	17
2002	10	12
2002	11	12
2002	12	10
2003	1	7
2003	2	42
2003	3	18
2003	4	23
2003	5	4
2003	6	13
2003	7	9
2003	8	2
2003	9	10
2003	10	13
2003	11	11
2003	12	7
2004	1	10
2004	2	10
2004	3	3
2004	4	5
2004	5	8
2004	6	6
2004	7	7
2004	8	9
2004	9	9
2004	10	5
2004	11	5
2004	12	9
2005	1	7
2005	2	1
2005	3	7
2005	4	4
2005	5	5
2005	6	5
2005	7	15
2005	8	7
2005	9	16
2005	10	9
2005	11	2
2005	12	6
2006	1	6
2006	2	17
2006	3	5
2006	4	17
2006	5	3
2006	6	4
2006	7	7
2006	8	4
2006	9	7
2006	10	5
2006	11	1
2006	12	3
2007	1	3
2007	2	3
2007	3	2
2007	4	2
2007	5	4
2007	6	4
2007	7	6
2007	8	0
2007	9	4
2007	10	9
2007	11	2
2007	12	1
2008	1	0
2008	2	5
2008	3	2
2008	4	2
2008	5	2
2008	6	2
2008	7	5
2008	8	2
2008	9	6
2008	10	4
2008	11	4
2008	12	6
2009	1	3
2009	2	24
2009	3	4
2009	4	2
2009	5	2
2009	6	3
2009	7	1
2009	8	1
2009	9	4
2009	10	3
2009	11	1
2009	12	7
2010	1	11
2010	2	3
2010	3	1
2010	4	0
2010	5	1
2010	6	0
2010	7	0
2010	8	1
2010	9	0
2010	10	1
2010	11	1
2010	12	0
2011	1	1
2011	2	5
2011	3	2
2011	4	0
2011	5	3
2011	6	1
2011	7	1
2011	8	0
2011	9	4
2011	10	5
2011	11	2
2011	12	3
2012	1	4
2012	2	1
2012	3	5
2012	4	1
2012	5	1
2012	6	3
2012	7	1
2012	8	2
2012	9	2
2012	10	4
2012	11	3
2012	12	3
2013	1	1
2013	2	7
2013	3	0
2013	4	1
2013	5	1
2013	6	0
2013	7	1
2013	8	3
2013	9	1
2013	10	1
2013	11	1
2013	12	2
2014	1	5
2014	2	2
2014	3	1
2014	4	1
2014	5	2
2014	6	4
2014	7	4
2014	8	0
2014	9	1
2014	10	0
2014	11	0
2014	12	1
2015	1	2
2015	2	0
2015	3	0
2015	4	0
2015	5	1
2015	6	1
2015	7	2
2015	8	0
2015	9	0
2015	10	0
2015	11	0
2015	12	0
2016	1	0
2016	2	0
2016	3	0
2016	4	1
2016	5	0
2016	6	0
2016	7	0
2016	8	0
2016	9	0
2016	10	1
2016	11	1
2016	12	2
2017	1	1
2017	2	2
2017	3	1
2017	4	0
2017	5	1
2017	6	3
2017	7	0
2017	8	0
2017	9	1
2017	10	0
2017	11	0
2017	12	1
2018	1	1
2018	2	3
2018	3	1
2018	4	0
2018	5	1
2018	6	0
2018	7	0
2018	8	1
2018	9	0
2018	10	0
2018	11	0
2018	12	0
2019	1	20
2019	2	0
2019	3	0
2019	4	0
2019	5	0
2019	6	0
2019	7	1
2019	8	0
2019	9	1
2019	10	0
2019	11	0
2019	12	0
2020	1	0
2020	2	0
2020	3	3
2020	4	0
2020	5	0
2020	6	0
2020	7	0
2020	8	0
2020	9	0
2020	10	0
2020	11	0
2020	12	0
2021	1	0
2021	2	0
2021	3	4
2021	4	0
2021	5	0
2021	6	1
2021	7	0
2021	8	0
2021	9	1
2021	10	0
2021	11	0
2021	12	0
2022	1	0
2022	2	3
2022	3	2
2022	4	1
2022	5	2
2022	6	1
2022	7	0
2022	8	0
2022	9	0
2022	10	0
2022	11	0
2022	12	0
